Transformer_ID,P_failure,Power_kVA,Replacement_Cost_COP,Expected_Loss_COP,Actual_Burned
7012,0.5555615562344947,45.0,1680000.0,933343.414473951,0
7189,0.3335188204019944,37.5,1400000.0,466926.3485627921,0
13650,0.16567853599203175,112.5,2800000.0,463899.9007776889,1
12532,0.2677438319800184,45.0,1680000.0,449809.6377264309,1
5744,0.46374946276972756,25.0,933333.3333333334,432832.8319184124,0
8510,0.4605704887039568,25.0,933333.3333333334,429865.78945702635,0
14172,0.4223006161941547,25.0,933333.3333333334,394147.24178121105,0
5394,0.2641604522184424,37.5,1400000.0,369824.6331058194,0
14817,0.39466435602559385,25.0,933333.3333333334,368353.39895722095,1
9606,0.2508332468465461,37.5,1400000.0,351166.54558516457,1
